DATE,PRT_SPY9T,PRT_SPY_HighT,PRT_SPY_H-LT,TOTAL,PRT_SPY9D,PRT_SPY_HighD,PRT_SPY_H-LD,DRAWDOWN
2008-12-31,9844.751434,9844.751434,9844.751434,9844.751434,0,0,0,0
2009-01-30,9584.893473,9584.893473,9584.893473,9584.893473,-2.639558382,-2.639558382,-2.639558382,-2.639558382
2009-02-27,9310.457115,9310.457115,9310.457115,9310.457115,-5.427199688,-5.427199688,-5.427199688,-5.427199688
2009-03-31,9490.872122,9490.872122,9490.872122,9490.872122,-3.594598755,-3.594598755,-3.594598755,-3.594598755
2009-04-30,9556.3853,9556.3853,9556.3853,9556.3853,-2.929135759,-2.929135759,-2.929135759,-2.929135759
2009-05-29,9896.966671,9896.966671,9896.966671,9896.966671,0,0,0,0
2009-06-30,9791.431534,9791.431534,9791.431534,9791.431534,-1.066338209,-1.066338209,-1.066338209,-1.066338209
2009-07-31,10275.76818,10275.76818,10275.76818,10275.76818,0,0,0,0
2009-08-31,10477.14868,10477.14868,10477.14868,10477.14868,0,0,0,0
2009-09-30,10918.10588,10918.10588,10918.10588,10918.10588,0,0,0,0
2009-10-30,10835.81975,10835.81975,10835.81975,10835.81975,-0.753666741,-0.753666741,-0.753666741,-0.753666741
2009-11-30,11590.76993,11590.76993,11590.76993,11590.76993,0,0,0,0
2009-12-31,11549.53733,11549.53733,11549.53733,11549.53733,-0.355736451,-0.355736451,-0.355736451,-0.355736451
2010-01-29,11311.85832,11311.85832,11311.85832,11311.85832,-2.406325098,-2.406325098,-2.406325098,-2.406325098
2010-02-26,11625.95116,11625.95116,11625.95116,11625.95116,0,0,0,0
2010-03-31,11994.02694,11994.02694,11994.02694,11994.02694,0,0,0,0
2010-04-30,12364.03584,12364.03584,12364.03584,12364.03584,0,0,0,0
2010-05-28,12055.83253,12055.83253,12055.83253,12055.83253,-2.492740303,-2.492740303,-2.492740303,-2.492740303
2010-06-30,11884.66142,11884.66142,11884.66142,11884.66142,-3.87716777,-3.87716777,-3.87716777,-3.87716777
2010-07-30,12129.87527,12129.87527,12129.87527,12129.87527,-1.893884519,-1.893884519,-1.893884519,-1.893884519
2010-08-31,12141.40294,12141.40294,12141.40294,12141.40294,-1.800649102,-1.800649102,-1.800649102,-1.800649102
2010-09-30,12876.21215,12876.21215,12876.21215,12876.21215,0,0,0,0
2010-10-29,13294.36885,13294.36885,13294.36885,13294.36885,0,0,0,0
2010-11-30,13315.86036,13315.86036,13315.86036,13315.86036,0,0,0,0
2010-12-31,13620.43892,13620.43892,13620.43892,13620.43892,0,0,0,0
2011-01-31,13578.85556,13578.85556,13578.85556,13578.85556,-0.305301165,-0.305301165,-0.305301165,-0.305301165
2011-02-28,14002.87423,14002.87423,14002.87423,14002.87423,0,0,0,0
2011-03-31,14044.38599,14044.38599,14044.38599,14044.38599,0,0,0,0
2011-04-29,14606.17542,14606.17542,14606.17542,14606.17542,0,0,0,0
2011-05-31,14544.73922,14544.73922,14544.73922,14544.73922,-0.420618001,-0.420618001,-0.420618001,-0.420618001
2011-06-30,14287.27143,14287.27143,14287.27143,14287.27143,-2.183350363,-2.183350363,-2.183350363,-2.183350363
2011-07-29,14631.18094,14631.18094,14631.18094,14631.18094,0,0,0,0
2011-08-31,14867.29982,14867.29982,14867.29982,14867.29982,0,0,0,0
2011-09-30,14076.39449,14076.39449,14076.39449,14076.39449,-5.31976445,-5.31976445,-5.31976445,-5.31976445
2011-10-31,14942.63368,14942.63368,14942.63368,14942.63368,0,0,0,0
2011-11-30,14909.61156,14909.61156,14909.61156,14909.61156,-0.220992645,-0.220992645,-0.220992645,-0.220992645
2011-12-30,14603.72834,14603.72834,14603.72834,14603.72834,-2.268042874,-2.268042874,-2.268042874,-2.268042874
2012-01-31,15498.59592,15498.59592,15498.59592,15498.59592,0,0,0,0
2012-02-29,15730.42307,15730.42307,15730.42307,15730.42307,0,0,0,0
2012-03-30,15956.60443,15956.60443,15956.60443,15956.60443,0,0,0,0
2012-04-30,15948.94653,15948.94653,15948.94653,15948.94653,-0.047992051,-0.047992051,-0.047992051,-0.047992051
2012-05-31,15265.77838,15265.77838,15265.77838,15265.77838,-4.329405148,-4.329405148,-4.329405148,-4.329405148
2012-06-29,15671.92874,15671.92874,15671.92874,15671.92874,-1.784061858,-1.784061858,-1.784061858,-1.784061858
2012-07-31,15832.11047,15832.11047,15832.11047,15832.11047,-0.780203368,-0.780203368,-0.780203368,-0.780203368
2012-08-31,16325.57561,16325.57561,16325.57561,16325.57561,0,0,0,0
2012-09-28,16665.64571,16665.64571,16665.64571,16665.64571,0,0,0,0
2012-10-31,16268.69661,16268.69661,16268.69661,16268.69661,-2.381840509,-2.381840509,-2.381840509,-2.381840509
2012-11-30,16339.79321,16339.79321,16339.79321,16339.79321,-1.955234756,-1.955234756,-1.955234756,-1.955234756
2012-12-31,16241.58344,16241.58344,16241.58344,16241.58344,-2.544529453,-2.544529453,-2.544529453,-2.544529453
2013-01-31,16538.61062,16538.61062,16538.61062,16538.61062,-0.76225722,-0.76225722,-0.76225722,-0.76225722
2013-02-28,16445.82316,16445.82316,16445.82316,16445.82316,-1.319016087,-1.319016087,-1.319016087,-1.319016087
2013-03-28,16798.13616,16798.13616,16798.13616,16798.13616,0,0,0,0
2013-04-30,16746.18737,16746.18737,16746.18737,16746.18737,-0.309253306,-0.309253306,-0.309253306,-0.309253306
2013-05-31,16680.7073,16680.7073,16680.7073,16680.7073,-0.699058886,-0.699058886,-0.699058886,-0.699058886
2013-06-28,16054.36153,16054.36153,16054.36153,16054.36153,-4.427721196,-4.427721196,-4.427721196,-4.427721196
2013-07-31,16800.97968,16800.97968,16800.97968,16800.97968,0,0,0,0
2013-08-30,16703.03519,16703.03519,16703.03519,16703.03519,-0.582968912,-0.582968912,-0.582968912,-0.582968912
2013-09-30,16963.21838,16963.21838,16963.21838,16963.21838,0,0,0,0
