,PriceTrends_2,PriceTrends_3,PriceTrends_4,PriceTrends_5,PriceTrends_6,PriceTrends_7,PriceTrends_8,PriceTrends_9,PriceTrends_Low,PriceTrends_High,PriceTrends_HL
2015-03-31,99.41737891737891,99.31025641025641,99.29602272727273,99.55441595441596,102.47549857549858,99.225,99.43076923076924,99.4074074074074,99.24914772727274,99.41022727272728,100.16107954545454
2015-04-30,99.20727873417108,99.34354791666668,98.97225580897502,99.37086250000002,102.09230407657603,99.02232166193183,98.93361538461541,98.87196296296297,99.38494755263328,98.88529621426734,99.49513605057302
2015-06-30,99.71724873440571,100.1009029420763,99.7581956044019,99.77920159044119,102.71288763281679,99.38697970602955,99.71924833599829,99.66460504806491,99.70091930465634,99.80351682197123,100.10269738555971
2015-07-31,101.02579458061125,101.21595450437535,100.66904335148985,100.69416853093067,104.03098867271758,100.27097167552594,100.80143828451374,100.39695944393343,100.61013629931519,100.36685222803301,99.75484051214488
2015-08-31,99.8696104870776,100.1599347123797,99.58259849581837,100.033782608982,103.46141900973444,99.65518014033304,100.64267601921561,100.03190494417757,99.35710811980904,100.16973284235524,100.80129918532906
2015-09-30,101.82633557011111,101.73030931202531,101.48708121054173,101.67644261814,105.36585427100779,101.51246560289304,102.58973543560953,102.00566466417031,100.37977271885437,101.73924313153158,101.34317578260709
2015-11-30,102.46225926911232,102.46568212644611,102.0800677098463,102.38313590939498,105.89935961577395,101.96353890046181,103.35223435077556,102.73937483066659,100.55543732111236,102.16129328847832,101.58623235529451
2015-12-31,102.01788185425478,102.30005266766638,101.99986194236001,102.36995232751076,105.89239637021018,101.68678072344628,103.50145798776968,102.92008353927284,100.2322824499407,102.2267884737646,101.9778264071408
2016-02-29,103.60055270990631,103.47203113989458,103.23166355379507,104.00115878099176,107.70298275404838,103.15068140003598,104.74743455578638,104.53221697897408,101.47094532841359,103.91269255908604,102.39939048187851
2016-03-31,103.70020119793517,102.96965463897764,102.76585528446243,103.42489006512332,106.94407290826643,102.37648762461002,103.74334334388652,103.50003273809428,102.195066325185,102.91915131061238,100.68957177650262
2016-05-31,105.82154661809294,105.02123431622903,104.96526799158315,105.18171177495583,108.83506498004385,104.13385792984009,105.3835565283533,105.33912706981819,104.21071860896464,104.84951295348704,100.59215666234486
2016-06-30,106.29974560713468,105.38382795449155,105.2217236733788,105.54643646740791,109.35534968092406,104.19239804456821,105.28074330247199,105.59279507581604,104.47828667025793,105.29044766201577,100.75691030271616
